Negara Tujuan,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jepang,"65,327.4","58,355.8","56,613.1","52,350.8","54,341.8","49,526.6","67,012.3","51,725.3","52,992.2","53,678.5","59,170.9","58,878.9","51,438.4","41,920.4","41,234.3","41,240.1","35,351.9","29,503.0","30,360.3","25,587.8","23,471.4","27,297.0"
Singapura,"12,699.1","9,973.6","12,473.1","8,794.7","9,887.1","13,169.8","14,558.1","12,630.6","7,237.0","7,305.8","6,079.0","6,240.4","9,154.1","8,677.9","7,725.9","9,212.9","7,099.1","7,178.0","7,814.1","8,717.1","5,212.9","5,377.0"
Malaysia,"7,422.0","8,858.1","9,748.5","5,808.5","6,548.7","6,559.3","8,500.7","12,407.5","17,370.3","17,803.2","26,200.1","26,382.1","33,134.1","40,580.4","29,136.2","38,347.5","39,049.0","41,394.1","37,319.8","34,662.2","36,103.8","29,059.1"
India,"2,224.9","2,852.9","2,191.0","3,270.1","5,100.6","18,004.8","11,172.7","8,294.9","12,085.0","9,950.7","9,733.3","12,162.4","19,884.0","18,292.4","14,434.3","19,303.0","11,574.0","8,291.0","2,236.6","12,578.5","19,998.0","22,109.6"
Mesir,"5,141.4","4,786.9","3,874.2","5,380.9","8,047.0","10,231.3","11,721.7","5,469.0","10,109.0","10,079.8","12,024.7","10,013.9","17,594.6","17,538.3","15,694.6","20,854.2","21,142.7","24,039.6","29,307.8","34,285.0","32,536.7","48,521.3"
Maroko,"6,852.1","5,289.8","6,406.4","5,757.3","6,605.0","5,756.3","7,627.2","6,247.8","6,860.4","7,900.2","8,369.1","10,013.0","11,268.6","12,874.3","10,418.7","11,069.1","9,720.5","11,072.4","11,075.1","9,663.9","9,603.7","12,164.1"
Aljazair,"1,526.0","2,337.1","3,189.8","5,440.2","14,131.1","22,031.1","14,073.0","8,379.6","23,205.6","26,531.9","10,303.2","7,298.4","10,488.9","24,265.5","10,590.6","16,911.6","9,885.0","19,022.9","5,007.9","4,872.6","5,919.6","3,918.1"
Amerika Serikat,"33,167.5","36,678.8","43,030.8","48,090.0","72,461.3","84,121.1","85,503.2","66,222.5","65,646.0","71,603.7","63,048.0","48,094.7","69,651.6","66,138.1","58,308.5","65,481.3","67,309.2","63,237.6","52,083.5","58,666.2","54,473.7","57,694.0"
Inggris,"11,089.0","5,915.3","10,480.4","12,212.3","10,474.6","16,441.9","12,245.8","8,822.6","15,125.2","16,425.5","24,343.2","14,868.4","16,312.4","20,781.0","14,349.2","21,052.6","18,355.8","21,937.5","7,555.1","18,923.5","21,349.5","12,259.5"
Jerman,"47,641.8","29,411.3","53,543.8","57,592.4","53,810.1","78,753.8","60,225.2","43,074.1","89,600.9","78,876.0","63,688.4","26,461.0","50,978.2","60,418.5","37,976.7","47,662.4","42,628.3","44,739.6","13,082.6","18,451.4","21,320.8","13,334.8"
Italia,"19,440.8","11,359.9","15,011.2","24,906.5","21,348.3","30,500.4","27,635.5","19,529.4","30,213.4","36,188.4","26,770.7","27,344.4","29,080.8","38,152.5","29,745.5","43,048.3","35,804.6","38,102.9","27,929.5","35,452.2","27,237.5","24,590.0"
Rumania,"4,904.1","5,428.7","10,296.2","9,150.1","7,505.2","8,912.4","8,743.9","4,613.4","4,565.9","4,816.9","2,219.4","1,497.0","1,362.0",507.6,397.9,492.6,282.0,"1,207.8","1,076.0","1,140.0",585.6,509.4
Georgia,"3,433.5","2,629.5","4,848.8","5,332.8","5,344.5","8,098.5","9,510.3","6,455.6","9,238.4","11,486.8","9,077.4","6,893.0","9,133.5","12,029.6","10,277.1","12,167.5","11,209.6","11,706.5","10,746.0","12,229.6","12,748.0","13,398.0"
Belgia,"5,410.8","6,214.4","8,383.5","4,218.0","9,002.2","12,927.6","4,896.3","4,742.6","37,108.4","33,544.9","16,661.5","19,165.6","15,430.6","20,832.6","14,341.9","5,541.8","12,152.7","13,156.2","6,207.0","16,259.6","14,758.1","14,434.0"
Belanda,"3,344.6","3,606.6","3,576.2","2,852.2","1,878.4","1,778.1","1,993.8","1,229.3","1,892.3","3,810.0","2,630.6","1,008.0","1,039.8","1,430.9","1,704.2","3,442.1","6,398.7","2,915.0","1,631.5","1,604.2","1,490.8","2,243.5"
Denmark,854.0,"1,080.6","1,580.0","1,060.6","1,172.0",601.3,535.6,666.3,399.8,520.8,613.7,194.1,230.3,267.1,342.6,269.3,248.7,57.2,62.6,38.2,75.5,41.3
Perancis,"2,794.9",198.1,"3,769.0","2,087.0","2,498.0","4,235.9","2,009.4","2,835.1","6,301.8","8,886.9","6,025.4","4,090.7","8,832.0","12,228.2","6,269.4","13,017.8","7,657.6","2,415.7",265.8,"2,945.3","4,376.4","5,993.4"
